rank,feature_idx,coefficient,abs_coefficient
1,27,43.66419,43.66419
2,49,25.194708,25.194708
3,119,23.428476,23.428476
4,59,18.833227,18.833227
5,4,16.38547,16.38547
6,61,15.923279,15.923279
7,691,15.249085,15.249085
8,1369,13.6184225,13.6184225
9,12,7.9872627,7.9872627
10,3,5.8280606,5.8280606
11,3403,4.936067,4.936067
12,229,4.8751025,4.8751025
13,161,4.2757664,4.2757664
14,58,1.5202646,1.5202646
15,6,0.20314868,0.20314868
16,248,0.0015304852,0.0015304852
17,53,7.349745e-05,7.349745e-05
18,1355,0.0,0.0
19,1373,0.0,0.0
20,1372,0.0,0.0
21,1371,0.0,0.0
22,1370,0.0,0.0
23,1351,0.0,0.0
24,1352,0.0,0.0
25,1353,0.0,0.0
26,1368,0.0,0.0
27,1367,0.0,0.0
28,1354,0.0,0.0
29,1359,0.0,0.0
30,1360,0.0,0.0
31,1366,0.0,0.0
32,1365,0.0,0.0
33,1356,0.0,0.0
34,1364,0.0,0.0
35,1363,0.0,0.0
36,1374,0.0,0.0
37,1357,0.0,0.0
38,1362,0.0,0.0
39,1358,0.0,0.0
40,1361,0.0,0.0
41,4095,0.0,0.0
42,1379,0.0,0.0
43,1375,0.0,0.0
44,1392,0.0,0.0
45,1406,0.0,0.0
46,1405,0.0,0.0
47,1404,0.0,0.0
48,1403,0.0,0.0
49,1402,0.0,0.0
50,1401,0.0,0.0
51,1400,0.0,0.0
52,1399,0.0,0.0
53,1398,0.0,0.0
54,1397,0.0,0.0
55,1396,0.0,0.0
56,1395,0.0,0.0
57,1394,0.0,0.0
58,1393,0.0,0.0
59,1391,0.0,0.0
60,1376,0.0,0.0
61,1390,0.0,0.0
62,1389,0.0,0.0
63,1388,0.0,0.0
64,1387,0.0,0.0
65,1386,0.0,0.0
66,1385,0.0,0.0
67,1384,0.0,0.0
68,1383,0.0,0.0
69,1382,0.0,0.0
70,1381,0.0,0.0
71,1380,0.0,0.0
72,1349,0.0,0.0
73,1378,0.0,0.0
74,1377,0.0,0.0
75,1350,0.0,0.0
76,1342,0.0,0.0
77,1348,0.0,0.0
78,1301,0.0,0.0
79,1314,0.0,0.0
80,1313,0.0,0.0
81,1312,0.0,0.0
82,1311,0.0,0.0
83,1310,0.0,0.0
84,1309,0.0,0.0
85,1308,0.0,0.0
86,1307,0.0,0.0
87,1306,0.0,0.0
88,1305,0.0,0.0
89,1304,0.0,0.0
90,1303,0.0,0.0
91,1302,0.0,0.0
92,1300,0.0,0.0
93,1316,0.0,0.0
94,1299,0.0,0.0
95,1298,0.0,0.0
96,1297,0.0,0.0
97,1296,0.0,0.0
98,1295,0.0,0.0
99,1294,0.0,0.0
100,1293,0.0,0.0
