n_features,train_roc_auc,train_f1,train_balanced_acc,valid_roc_auc,valid_f1,valid_balanced_acc,test_roc_auc,test_f1,test_balanced_acc
1,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
2,0.4878647868804558,0.008761449621664676,0.5,0.45397979252562304,0.017363646221129864,0.5,,0.0,0.0
3,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
5,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
10,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
20,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
30,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
50,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
75,0.5,0.0,0.5,0.5,0.0,0.5,,0.0,1.0
100,0.5,0.008761449621664676,0.5,0.5,0.017363646221129864,0.5,,0.0,0.0
